date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,wind_speed_10m_max,pm2_5,pm10,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,AQI,month,month_sin,month_cos
2024-02-07,16.3,4.1,10.1,0.0,18.1,27.55,42.875,921.375,39.65416666666667,6.979166666666667,64.20833333333333,96.41666666666669,2,0.8660254037844386,0.5000000000000001
2024-02-08,18.1,8.5,12.3,0.0,23.9,22.6875,33.391666666666666,785.0833333333334,35.37083333333333,6.1125,61.625,78.125,2,0.8660254037844386,0.5000000000000001
2024-02-09,19.7,5.3,11.9,0.0,10.4,31.854166666666668,46.27916666666667,1055.9166666666667,40.395833333333336,11.179166666666667,55.25,82.91666666666667,2,0.8660254037844386,0.5000000000000001
2024-02-10,20.1,7.0,12.4,0.0,12.4,33.25,48.04583333333333,1126.5,44.04166666666666,11.229166666666666,61.75,95.33333333333331,2,0.8660254037844386,0.5000000000000001
2024-02-11,20.5,7.2,13.1,0.0,8.1,34.1625,49.45,1244.5416666666667,44.51666666666667,10.475,53.5,93.33333333333331,2,0.8660254037844386,0.5000000000000001
2024-02-12,20.7,8.7,14.4,0.0,7.9,40.75833333333333,59.62083333333334,1350.125,44.79166666666666,12.629166666666668,50.16666666666666,102.29166666666669,2,0.8660254037844386,0.5000000000000001
2024-02-13,21.6,8.2,14.1,0.0,13.8,33.483333333333334,49.16666666666666,1292.5416666666667,44.9125,8.908333333333333,46.625,114.5,2,0.8660254037844386,0.5000000000000001
2024-02-14,21.5,7.7,14.3,0.0,16.5,29.766666666666666,43.770833333333336,1003.2083333333334,40.06666666666667,7.604166666666667,56.833333333333336,90.125,2,0.8660254037844386,0.5000000000000001
2024-02-15,22.9,8.8,15.3,0.0,8.7,31.325,46.15416666666667,1068.375,41.10833333333333,11.508333333333333,58.375,88.08333333333333,2,0.8660254037844386,0.5000000000000001
2024-02-16,23.7,10.2,16.4,0.0,13.0,36.81666666666667,53.44583333333333,1463.0833333333333,47.25416666666666,12.395833333333334,58.0,100.875,2,0.8660254037844386,0.5000000000000001
2024-02-17,23.6,11.6,17.0,0.0,9.4,47.25833333333333,69.97500000000001,1379.4166666666667,46.69166666666666,16.145833333333332,62.04166666666666,111.0,2,0.8660254037844386,0.5000000000000001
2024-02-18,16.9,12.5,14.0,14.4,22.0,50.54166666666666,92.19583333333333,713.2083333333334,23.116666666666664,9.129166666666666,72.16666666666667,145.33333333333334,2,0.8660254037844386,0.5000000000000001
2024-02-19,15.4,9.2,12.4,37.0,35.2,37.87916666666667,71.8875,473.125,18.82916666666667,6.866666666666667,90.91666666666669,107.625,2,0.8660254037844386,0.5000000000000001
2024-02-20,15.2,6.2,10.5,5.2,14.7,28.979166666666668,50.48333333333333,669.625,28.266666666666666,6.575,68.375,97.08333333333331,2,0.8660254037844386,0.5000000000000001
2024-02-21,16.7,5.5,11.1,1.8,11.7,30.28333333333333,48.69166666666666,962.4166666666666,37.8125,9.933333333333334,56.375,93.125,2,0.8660254037844386,0.5000000000000001
2024-02-22,17.3,7.1,11.8,0.2,11.2,21.2875,32.46666666666667,686.5,30.7375,7.229166666666667,66.33333333333333,83.08333333333333,2,0.8660254037844386,0.5000000000000001
2024-02-23,17.5,5.5,10.9,0.0,11.8,27.77083333333333,41.42083333333333,919.125,32.4375,7.391666666666667,71.54166666666667,78.33333333333333,2,0.8660254037844386,0.5000000000000001
2024-02-24,17.4,6.3,11.6,0.0,9.3,24.954166666666666,36.94166666666667,1035.3333333333333,37.7625,10.366666666666664,70.20833333333333,81.0,2,0.8660254037844386,0.5000000000000001
2024-02-25,17.9,7.4,12.6,0.0,13.0,32.545833333333334,49.575,1003.7083333333334,34.5,9.9125,74.875,84.83333333333333,2,0.8660254037844386,0.5000000000000001
2024-02-26,17.4,7.5,11.6,0.0,18.7,33.325,50.3125,779.6666666666666,34.42916666666667,8.366666666666667,60.25,100.70833333333331,2,0.8660254037844386,0.5000000000000001
2024-02-27,18.9,7.7,12.9,0.0,14.8,28.58333333333333,45.93333333333334,762.25,37.6375,9.275,62.41666666666666,89.54166666666667,2,0.8660254037844386,0.5000000000000001
2024-02-28,20.2,9.0,14.0,0.0,16.2,27.15416666666667,43.208333333333336,836.7916666666666,41.49583333333333,7.1625000000000005,59.25,87.54166666666667,2,0.8660254037844386,0.5000000000000001
2024-02-29,19.3,8.9,14.3,0.0,15.3,28.179166666666664,42.81666666666666,1036.0,45.87916666666666,9.920833333333333,44.208333333333336,81.45833333333333,2,0.8660254037844386,0.5000000000000001
2024-03-01,15.7,11.5,12.9,21.5,18.3,31.454166666666666,52.375,1005.125,32.65416666666667,5.683333333333334,42.5,97.79166666666669,3,1.0,6.123233995736766e-17
2024-03-02,15.3,9.4,12.3,49.9,32.9,27.775,49.00416666666666,312.1666666666667,9.766666666666667,4.370833333333334,81.0,83.83333333333333,3,1.0,6.123233995736766e-17
2024-03-03,13.4,4.9,9.3,26.2,18.4,23.204166666666666,38.075,395.5833333333333,14.775,6.808333333333334,77.625,79.58333333333333,3,1.0,6.123233995736766e-17
2024-03-04,15.2,4.4,9.5,0.1,15.1,30.245833333333334,50.5625,657.2083333333334,31.92083333333333,9.345833333333331,72.20833333333333,82.375,3,1.0,6.123233995736766e-17
2024-03-05,17.8,5.8,11.4,0.0,15.9,35.40416666666667,59.7,988.375,42.72916666666666,10.079166666666667,71.16666666666667,97.29166666666669,3,1.0,6.123233995736766e-17
